source,target,regex,code
/pages/about-us,/about-us,0,301
/pages/contact-us,/contact-us,0,301
/pages/privacy-policy-bella-virtual-staging,/privacy-policy-bella-virtual-staging,0,301
/pages/refund-and-return-policy,/refund-and-return-policy,0,301
/pages/virtual-staging-los-angeles,/virtual-staging-los-angeles,0,301
/pages/virtual-staging-in-florida,/virtual-staging-in-florida,0,301
/pages/virtual-staging-chicago,/virtual-staging-chicago,0,301
/pages/virtual-home-staging-san-diego,/virtual-home-staging-san-diego,0,301
/pages/virtual-staging-atlanta,/virtual-staging-atlanta,0,301
/pages/virtual-staging-new-york,/virtual-staging-new-york,0,301
/pages/virtual-staging-boston-ma,/virtual-staging-boston-ma,0,301
/pages/virtual-home-staging-in-washington-dc,/virtual-home-staging-in-washington-dc,0,301
/pages/virtual-staging-california,/virtual-staging-california,0,301
/pages/virtual-staging-las-vegas-nv,/virtual-staging-las-vegas-nv,0,301
/pages/virtual-staging-in-tampa,/virtual-staging-in-tampa,0,301
/pages/virtual-staging-philadelphia,/virtual-staging-philadelphia,0,301
/pages/virtual-staging-vancouver,/virtual-staging-vancouver,0,301
/pages/virtual-staging-in-toronto,/virtual-staging-in-toronto,0,301
/pages/virtual-staging-in-montreal,/virtual-staging-in-montreal,0,301
/pages/faq,/faq,0,301
/pages/lookbook,/lookbook,0,301
/pages/pricing,/pricing,0,301
/pages/home-builder,/home-builder,0,301
/pages/photographers,/photographers,0,301
/pages/interior-design-consultation,/interior-design-consultation,0,301
/pages/sign-up,/sign-up,0,301
/pages/terms-of-service,/terms-of-service,0,301
/pages/information-security-policy,/information-security-policy,0,301
/pages/partnership,/partnership,0,301
/pages/case-studies-realtors,/case-studies-realtors,0,301
/pages/case-studies-home-builder,/case-studies-home-builder,0,301
/pages/case-studies-property-manager,/case-studies-property-manager,0,301
/pages/main-case-study,/main-case-study,0,301
/pages/landingpage-2d-3d,/landingpage-2d-3d,0,301
/collections/frontpage,/,0,301
/collections/virtual-staging-services,/virtual-staging,0,301
/collections/floor-plan-services,/floor-plans,0,301
/collections/3d-rendering-services,/3d-rendering,0,301
/collections/photo-editing-services,/photo-editing,0,301
/collections/virtual-staging-services-copy,/virtual-staging,0,301
/collections/our-services,/services,0,301
/blogs/news,/blog,0,301
/blogs/how-house-rendering-enhances-home-buying-and-selling-experiences,/blog/how-house-rendering-enhances-home-buying-and-selling-experiences,0,301
/blogs/the-impact-of-3d-house-rendering-in-real-estate,/blog/the-impact-of-3d-house-rendering-in-real-estate,0,301
/blogs/virtual-tours-and-beyond-the-benefits-of-house-rendering-for-modern-homebuyers,/blog/virtual-tours-and-beyond-the-benefits-of-house-rendering-for-modern-homebuyers,0,301
